duration,protocol_type,service,src_bytes,dst_bytes,flag,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,srv_serror_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,label
0,tcp,other,66,0,OTH,5,15,0.0,1.0,0.0,0.0,0.67,5,15,1.0,0.0,0.31,0.0,0.67,0.0,Normal
0,tcp,other,66,0,OTH,1045,2549,0.0,1.0,0.0,0.0,0.59,50,96,1.0,0.0,0.52,0.0,0.48,0.0,Normal
0,tcp,http,232,0,OTH,12,32,0.0,1.0,0.0,0.0,0.62,12,32,1.0,0.0,0.36,0.0,0.62,0.0,Normal
0,tcp,other,66,0,OTH,9,23,0.0,1.0,0.0,0.0,0.61,9,23,1.0,0.0,0.38,0.0,0.61,0.0,Normal
0,tcp,other,66,0,OTH,563,54,0.0,0.05,0.95,0.0,0.52,58,6,0.03,0.97,0.14,0.0,0.67,0.0,Normal
0,tcp,http,169,0,OTH,9,23,0.0,1.0,0.0,0.0,0.61,9,23,1.0,0.0,0.38,0.0,0.61,0.0,Normal
0,tcp,http,60,0,S1,329,343,0.88,0.98,0.02,0.84,0.06,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,258,0,OTH,1,5,0.0,1.0,0.0,0.0,0.8,1,5,1.0,0.0,0.5,0.0,0.8,0.0,Normal
0,tcp,other,66,0,OTH,4,5,0.0,1.0,0.0,0.0,0.2,4,5,1.0,0.0,0.0,0.0,0.2,0.0,Normal
0,tcp,other,66,0,OTH,597,985,0.0,0.94,0.06,0.0,0.43,49,96,0.96,0.04,0.0,0.0,0.51,0.0,Normal
0,tcp,other,66,0,OTH,51,68,0.0,0.92,0.08,0.0,0.31,51,68,0.92,0.08,0.0,0.0,0.31,0.0,Normal
0,tcp,other,66,0,OTH,47,70,0.0,0.91,0.09,0.0,0.39,47,70,0.91,0.09,0.0,0.0,0.39,0.0,Normal
0,tcp,http,181,0,OTH,2,8,0.0,1.0,0.0,0.0,0.75,2,8,1.0,0.0,0.22,0.0,0.75,0.0,Normal
0,tcp,other,66,0,OTH,36,49,0.0,0.83,0.17,0.0,0.39,36,49,0.83,0.17,0.0,0.0,0.39,0.0,Normal
0,tcp,http,408,0,OTH,20,31,0.0,0.9,0.1,0.0,0.42,20,31,0.9,0.1,0.12,0.0,0.42,0.0,Normal
0,tcp,http,630,0,OTH,7,8,0.0,0.71,0.29,0.0,0.38,7,8,0.71,0.29,0.0,0.0,0.38,0.0,Normal
0,tcp,http,60,0,S1,565,589,0.91,0.99,0.01,0.87,0.05,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,532,1300,0.0,1.0,0.0,0.0,0.59,36,100,1.0,0.0,0.5,0.0,0.64,0.0,Normal
0,tcp,http,409,0,OTH,109,178,0.0,0.94,0.06,0.0,0.42,60,88,0.9,0.1,0.11,0.0,0.39,0.0,Normal
0,tcp,other,66,0,OTH,30,85,0.0,1.0,0.0,0.0,0.65,30,85,1.0,0.0,0.35,0.0,0.65,0.0,Normal
0,tcp,http,1225,0,OTH,13,38,0.0,1.0,0.0,0.0,0.66,13,38,1.0,0.0,0.33,0.0,0.66,0.0,Normal
0,tcp,other,258,0,OTH,1,6,0.0,1.0,0.0,0.0,0.83,1,6,1.0,0.0,0.43,0.0,0.83,0.0,Normal
0,tcp,other,66,0,OTH,5,14,0.0,1.0,0.0,0.0,0.64,5,14,1.0,0.0,0.33,0.0,0.64,0.0,Normal
0,tcp,http,599,526,SF,1,1,0.0,1.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,Normal
0,tcp,other,66,0,OTH,41,62,0.0,0.9,0.1,0.0,0.4,41,62,0.9,0.1,0.0,0.0,0.4,0.0,Normal
0,tcp,other,66,0,OTH,290,495,0.0,0.93,0.07,0.0,0.45,56,88,0.89,0.11,0.12,0.0,0.43,0.0,Normal
0,tcp,http,60,0,S1,783,814,0.92,0.99,0.01,0.88,0.05,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,http,409,0,OTH,31,44,0.0,0.9,0.1,0.0,0.36,31,44,0.9,0.1,0.18,0.0,0.36,0.0,Normal
0,tcp,other,66,0,OTH,10,7,0.0,0.3,0.7,0.0,0.57,10,7,0.3,0.7,0.12,0.0,0.57,0.0,Normal
0,tcp,other,66,0,OTH,341,545,0.0,0.92,0.08,0.0,0.43,54,96,0.96,0.04,0.0,0.0,0.46,0.0,Normal
