No;K-Fold;Learning Rate;Clip Epsilon;Entropy Coefficient;Batch Size;Value Coefficient;F1 - Score;
1;2;0,0001;0,08;0,005;128;0,5;0.9911348255475277;
2;5;0,0001;0,08;0,005;128;0,5;0.9903593686979331;
3;2;0,0001;0,08;0,005;128;0,7;0.9900155093137034;
4;5;0,0001;0,08;0,005;128;0,7;0.9889314489470469;
5;2;0,0003;0,08;0,005;128;0,5;0.9937083021761847;
6;5;0,0003;0,08;0,005;128;0,5;0.992940492090297;
7;2;0,0003;0,08;0,005;128;0,7;0.9919529644421479;
8;5;0,0003;0,08;0,005;128;0,7;0.993192584890239;
9;2;0,0001;0,08;0,010;128;0,5;0.9898015046843052;
10;5;0,0001;0,08;0,010;128;0,5;0.9874132943390338;
11;2;0,0001;0,08;0,010;128;0,7;0.9888499879535995;
12;5;0,0001;0,08;0,010;128;0,7;0.9899663218483964;
13;2;0,0003;0,08;0,010;128;0,5;0.9936672363237673;
14;5;0,0003;0,08;0,010;128;0,5;0.9925557488144289;
15;2;0,0003;0,08;0,010;128;0,7;0.9937934047285295;
16;5;0,0003;0,08;0,010;128;0,7;0.9927232312431551;
17;2;0,0001;0,12;0,005;128;0,5;0.9887630667198468;
18;5;0,0001;0,12;0,005;128;0,5;0.9898848498039904;
19;2;0,0001;0,12;0,005;128;0,7;0.9895847092573665;
20;5;0,0001;0,12;0,005;128;0,7;0.9903575005819041;
21;2;0,0003;0,12;0,005;128;0,5;0.9926814285579277;
22;5;0,0003;0,12;0,005;128;0,5;0.9930647397272324;
23;2;0,0003;0,12;0,005;128;0,7;0.9934526477358607;
24;5;0,0003;0,12;0,005;128;0,7;0.9941779876659907;
25;2;0,0001;0,12;0,010;128;0,5;0.9903614260435034;
26;5;0,0001;0,12;0,010;128;0,5;0.9898859872952188;
27;2;0,0001;0,12;0,010;128;0,7;0.9874210496259495;
28;5;0,0001;0,12;0,010;128;0,7;0.9890232191707637;
29;2;0,0003;0,12;0,010;128;0,5;0.9934578670177748;
30;5;0,0003;0,12;0,010;128;0,5;0.992423165605097;
31;2;0,0003;0,12;0,010;128;0,7;0.9923839958980938;
32;5;0,0003;0,12;0,010;128;0,7;0.994308080218714;
33;2;0,0001;0,08;0,005;256;0,5;0.9907911521659885;
34;5;0,0001;0,08;0,005;256;0,5;0.9901857784010328;
35;2;0,0001;0,08;0,005;256;0,7;0.9912227867699932;
36;5;0,0001;0,08;0,005;256;0,7;0.9910912692200513;
37;2;0,0003;0,08;0,005;256;0,5;0.9951616133287293;
38;5;0,0003;0,08;0,005;256;0,5;0.9936606036071236;
39;2;0,0003;0,08;0,005;256;0,7;0.9947809397998024;
40;5;0,0003;0,08;0,005;256;0,7;0.9936641555248518;
41;2;0,0001;0,08;0,010;256;0,5;0.9904883592775059;
42;5;0,0001;0,08;0,010;256;0,5;0.9907891805030742;
43;2;0,0001;0,08;0,010;256;0,7;0.9913504835156304;
44;5;0,0001;0,08;0,010;256;0,7;0.9901440130603542;
45;2;0,0003;0,08;0,010;256;0,5;0.9950720671442286;
46;5;0,0003;0,08;0,010;256;0,5;0.9947336197889465;
47;2;0,0003;0,08;0,010;256;0,7;0.9947783455941231;
48;5;0,0003;0,08;0,010;256;0,7;0.9945628961308997;
49;2;0,0001;0,12;0,005;256;0,5;0.9891926850534578;
50;5;0,0001;0,12;0,005;256;0,5;0.9905727342491589;
51;2;0,0001;0,12;0,005;256;0,7;0.98932313852414;
52;5;0,0001;0,12;0,005;256;0,7;0.9907484901347707;
53;2;0,0003;0,12;0,005;256;0,5;0.9946534291838642;
54;5;0,0003;0,12;0,005;256;0,5;0.9939245124352418;
55;2;0,0003;0,12;0,005;256;0,7;0.9954170820052222;
56;5;0,0003;0,12;0,005;256;0,7;0.9938770485482389;
57;2;0,0001;0,12;0,010;256;0,5;0.9916523248363122;
58;5;0,0001;0,12;0,010;256;0,5;0.9899702714907705;
59;2;0,0001;0,12;0,010;256;0,7;0.9917397061596253;
60;5;0,0001;0,12;0,010;256;0,7;0.9906184038121669;
61;2;0,0003;0,12;0,010;256;0,5;0.9932370480487405;
62;5;0,0003;0,12;0,010;256;0,5;0.9942220841166762;
63;2;0,0003;0,12;0,010;256;0,7;0.9940084775525222;
64;5;0,0003;0,12;0,010;256;0,7;0.9938378866694821;
